originals	ENO_TOKEN	ENO_TRANSLITERATED	ENO_COMMON
euba ecòio	e u b a # e c òi o	e u b a # e k o:i o	euba eko:io
ecòio	e c òi o	e k o:i o	eko:io
ecar èuba	e c a r # è u b a	e k a r # E u b a	ekar Euba
noha chia	n o h a # ch i a	n o h a # k i a	noha kia
noha chia	n o h a # ch i a	n o h a # k i a	noha kia
chèoba dobu	ch è o b a # d o b u	k E o b a # d o b u	kEoba dobu
manà	m a n à	m a n a	mana
mana cahoda pahona	m a n a # c a h o d a # p a h o n a	m a n a # k a h o d a # p a h o n a	mana kahoda pahona
capuuda	c a p u u d a	k a p u u d a	kapuuda
cahanua	c a h a n u a	k a h a n u a	kahanua
moa	m o a	m o a	moa
curu	c u r u	k u r u	kuru
cana	c a n a	k a n a	kana
capau	c a p au	k a p a:u	kapa:u
na cuani	n a # c u a n i	n a # k u a n i	na kuani
apiha	a p i h a	a p i x a	apixa
bapanena	b a p a n e n a	b a p a n e n a	bapanena
iò	i ò	i O	iO
iò	i ò	i O	iO
eà	e à	e a	ea
mauné	m au n é	m a:u n e	ma:une
ebà	e b à	e b a	eba
calelea	c a l e l e a	k a l e l e a	kalelea
eapodia	e a p o d i a	e a p o d i a	eapodia
chipahua chidèida	ch i p a h u a # ch i d è i d a	k i p a h u a # k i d E i d a	kipahua kidEida
chèoba eabá	ch è o b a # e a b á	k E o b a # e a b a	kEoba eaba
panacona	p a n a c o n a	p a n a k o n a	panakona
eògi	e ò gi	e O c	eOc
chipòro	ch i p ò r o	k i p O r o	kipOro
ecabuaio	e c a b u ai o	e k a b u a:i o	ekabua:io
ecahaba	e c a h a b a	e k a h a b a	ekahaba
eparopa	e p a r o p a	e p a r o p a	eparopa
eocaha	e o c a h a	e o k a h a	eokaha
epaucaha	e p au c a h a	e p a:u k a h a	epa:ukaha
chifamu	ch i f a m u	k i f a m u	kifamu
chifamu	ch i f a m u	k i f a m u	kifamu
baapia	b a a p i a	b a a p i a	baapia
caha ca belowa	c a h a # c a # b e l o w a	k a h a # k a # b e l o w a	kaha ka belowa
chichihichi	ch i ch i h i ch i	k i k i x i k i	kikixiki
chidudua	ch i d u d u a	k i d u d u a	kidudua
pacohà	p a c o h à	p a k o h a	pakoha
cará	c a r á	k a r a	kara
calicòcco	c a l i c ò cc o	k a l i k O k o	kalikOko
echihi	e ch i h i	e k i x i	ekixi
		⁇	⁇
chiòha	ch i ò h a	k i O h a	kiOha
cabého	c a b é h o	k a b e h o	kabeho
cabahoia	c a b a h o i a	k a b a h o i a	kabahoia
caachitri	c a a ch i t r i	k a a k i t r i	kaakitri
comaù	c o m aù	k o m a:u	koma:u
pohoiá	p o h o i á	p o h o i a	pohoia
pauápo	p au á p o	p a:u a p o	pa:uapo
poapo	p o a p o	p o a p o	poapo
ediochéco	e d i o ch é c o	e d i o k e k o	ediokeko
enania	e n a n i a	e n a n i a	enania
ehèa	e h è a	e h E a	ehEa
caparebahu	c a p a r e b a h u	k a p a r e b a h u	kaparebahu
ahitòpo	a h i t ò p o	a h i t O p o	ahitOpo
ahitòpo	a h i t ò p o	a h i t O p o	ahitOpo
eadia	e a d i a	e a d i a	eadia
baitara	b ai t a r a	b a:i t a r a	ba:itara
moco pamehena	m o c o # p a m e h e n a	m o k o # p a m e h e n a	moko pamehena
eea	e e a	e e a	eea
ehabédo	e h a b é d o	e h a b e d o	ehabedo
hio	h i o	h i o	hio
caachihi	c a a ch i h i	k a a k i x i	kaakixi
caachihi	c a a ch i h i	k a a k i x i	kaakixi
ehècu	e h è c u	e h E k u	ehEku
aioo	ai o o	a:i o o	a:ioo
aioo	ai o o	a:i o o	a:ioo
bodo	b o d o	b o d o	bodo
chèoba iaua	ch è o b a # i au a	k E o b a # i a:u a	kEoba ia:ua
nama huma	n a m a # h u m a	n a m a # h u m a	nama huma
echihoa	e ch i h o a	e k i x o a	ekixoa
echihoa	e ch i h o a	e k i x o a	ekixoa
ò	ò	O	O
panacona	p a n a c o n a	p a n a k o n a	panakona
eèpe	e è p e	e E p e	eEpe
uahapè	u a h a p è	u a h a p E	uahapE
bacacaho	b a c a c a h o	b a k a k a h o	bakakaho
eia	ei a	e:i a	e:ia
panacona	p a n a c o n a	p a n a k o n a	panakona
panacona	p a n a c o n a	p a n a k o n a	panakona
ecufele baca	e c u f e l e # b a c a	e k u f e l e # b a k a	ekufele baka
capihoro	c a p i h o r o	k a p i x o r o	kapixoro
